version,converted,time_on_page,click_count
A,0,241.1,0
A,0,193.4,4
A,0,155.0,4
A,0,186.6,3
A,0,272.1,1
A,0,208.0,3
A,1,162.5,3
A,0,178.0,3
A,0,200.9,4
A,0,161.1,2
A,0,157.1,4
A,0,179.5,4
A,0,248.4,5
A,1,215.6,6
A,0,161.6,5
A,0,219.1,2
A,0,180.4,2
A,1,195.5,1
A,0,191.4,2
A,0,85.0,4
A,0,42.9,5
A,0,190.2,3
A,0,141.6,3
A,0,106.2,7
A,0,143.0,5
A,0,221.6,1
A,1,196.1,4
A,0,214.7,1
A,0,200.4,3
A,0,138.7,5
A,0,214.9,2
A,0,206.4,1
A,0,174.7,5
A,0,182.6,2
A,0,215.7,3
A,0,146.3,5
A,0,229.0,2
A,1,205.4,5
A,0,180.1,5
A,0,248.9,2
A,0,121.8,3
A,0,159.3,3
A,0,149.3,2
A,1,196.1,2
A,0,233.2,1
A,0,135.8,1
A,0,328.7,4
A,0,150.2,6
A,0,196.2,5
A,1,180.1,3
A,0,182.1,4
A,0,144.3,1
A,0,228.0,3
A,0,141.6,9
A,0,100.4,2
A,0,129.5,4
A,0,245.0,5
A,0,236.3,1
A,0,89.7,2
A,0,216.6,6
A,0,90.8,5
A,0,178.8,5
A,0,125.7,5
A,0,220.1,3
A,0,205.0,4
A,0,224.1,3
A,0,166.7,4
A,0,171.4,5
A,0,112.5,4
A,0,133.6,2
A,0,222.7,3
A,0,196.5,2
A,0,184.7,2
A,0,236.8,1
A,0,121.5,2
A,1,212.4,5
A,0,126.9,3
A,0,246.5,6
A,0,204.5,2
A,0,223.4,2
A,0,148.4,1
A,0,278.2,2
A,0,269.9,2
A,0,199.4,2
A,1,232.9,3
A,0,166.4,3
A,0,122.9,2
A,0,215.8,3
A,0,138.6,2
A,0,239.0,2
A,1,227.2,1
A,0,190.6,2
A,0,188.1,4
A,0,224.5,1
A,0,192.4,3
A,0,161.8,1
A,0,111.8,5
A,0,223.2,2
A,0,196.5,1
A,0,304.0,2
A,1,175.7,3
A,0,193.6,2
A,0,194.6,4
A,0,209.3,4
A,0,136.5,1
A,0,176.5,0
A,0,217.2,1
A,0,165.0,1
A,0,215.6,1
A,0,184.4,2
A,0,198.1,5
A,0,231.8,2
A,0,169.8,1
A,0,114.7,4
A,0,168.0,1
A,1,142.9,6
A,0,84.3,4
A,0,175.2,2
A,1,189.0,2
A,0,225.9,1
A,0,128.7,2
A,1,184.0,1
A,0,230.8,2
A,1,154.1,2
A,0,204.1,0
A,0,251.9,4
A,0,96.2,4
A,0,192.3,2
A,0,232.3,3
A,0,164.2,1
A,0,242.4,5
A,1,208.5,5
A,1,259.6,4
A,1,206.2,2
A,0,263.4,5
A,0,193.5,1
A,0,118.4,5
A,0,151.6,1
A,1,225.8,0
A,0,224.9,4
A,0,166.0,8
A,0,261.2,3
A,0,164.1,3
A,0,200.8,2
A,0,199.5,3
A,0,120.1,4
A,0,175.0,6
A,0,287.1,3
A,0,138.5,3
A,0,208.1,0
A,0,128.1,3
A,0,138.0,1
A,0,116.4,7
A,1,222.3,3
A,0,140.8,2
A,0,237.0,2
A,0,156.1,4
A,0,185.8,3
A,0,198.5,1
A,0,107.2,3
A,0,189.2,3
A,0,195.7,3
A,0,231.3,3
A,0,136.8,0
A,0,143.2,1
A,0,209.7,7
A,0,243.6,6
A,0,153.3,3
A,0,124.4,0
A,0,165.7,4
A,0,134.4,4
A,0,197.9,0
A,0,131.4,3
A,0,223.8,5
A,0,189.6,4
A,0,225.2,4
A,0,71.0,3
A,0,100.9,1
A,0,238.2,7
A,0,147.6,2
A,0,114.0,4
A,0,170.9,3
A,0,190.9,2
A,0,172.9,2
A,0,201.1,6
A,0,195.0,3
A,0,192.6,4
A,0,240.7,4
A,0,179.4,5
A,0,178.0,1
A,0,216.1,3
A,0,204.9,3
A,0,139.4,4
A,0,175.9,4
A,0,199.7,4
A,0,153.6,2
A,0,155.7,2
A,0,117.4,8
A,0,50.3,2
A,0,163.2,1
A,0,185.7,3
A,1,130.7,2
A,0,242.0,2
A,0,132.9,5
A,0,221.1,1
A,0,198.8,3
A,0,277.9,1
A,0,204.3,0
A,1,114.9,2
A,0,227.4,2
A,1,256.4,3
A,0,100.3,4
A,0,208.8,3
A,0,218.7,2
A,0,170.4,4
A,0,71.0,3
A,0,166.7,2
A,0,153.9,5
A,0,248.8,1
A,0,176.0,2
A,0,161.4,3
A,0,153.6,3
A,0,194.7,1
A,0,182.6,2
A,0,144.5,6
A,1,191.9,7
A,0,154.9,2
A,0,63.3,1
A,0,210.1,5
A,0,205.8,2
A,0,189.0,4
A,0,160.1,5
A,0,176.8,2
A,0,216.9,2
A,0,151.6,4
A,0,218.7,4
A,0,113.6,3
A,0,187.6,3
A,0,181.2,3
A,0,225.1,5
A,0,138.6,3
A,0,143.6,3
A,0,117.2,6
A,0,154.5,2
A,0,191.5,1
A,0,99.1,4
A,0,160.1,2
A,0,207.5,4
A,0,175.4,3
A,0,183.4,0
A,0,112.2,3
A,0,175.5,1
A,0,181.3,1
A,0,172.6,4
A,0,186.9,0
A,0,166.1,1
A,0,159.5,1
A,0,133.2,3
A,0,223.9,2
A,0,124.8,4
A,0,187.1,4
A,0,261.6,4
A,1,229.6,1
A,0,202.9,0
A,0,191.2,1
A,0,174.3,9
A,0,139.4,3
A,1,168.6,1
A,0,205.9,3
A,0,197.5,1
A,0,215.5,1
A,0,234.9,1
A,0,172.9,2
A,0,188.6,0
A,0,94.5,0
A,0,281.5,2
A,0,161.4,6
A,1,209.3,2
A,0,161.3,2
A,0,160.3,3
A,0,169.3,2
A,0,124.0,1
A,0,68.4,2
A,0,232.2,3
A,0,204.6,5
A,0,138.8,2
A,0,200.3,1
A,0,217.1,1
A,0,148.8,7
A,1,198.5,3
A,0,225.3,6
A,0,115.3,1
A,1,204.0,1
A,0,196.4,2
A,0,264.6,1
A,0,205.1,0
A,0,161.5,3
A,0,166.7,2
A,0,271.1,2
A,1,164.0,3
A,0,206.4,5
A,0,169.3,1
A,1,228.7,3
A,0,230.9,5
A,1,179.0,3
A,1,161.7,7
A,1,160.6,3
A,0,102.3,0
A,0,184.5,1
A,0,183.6,3
A,0,143.3,1
A,0,97.4,3
A,0,189.3,2
A,0,195.0,3
A,0,197.8,0
A,1,135.5,1
A,0,197.9,1
A,0,172.0,1
A,0,218.9,1
A,0,136.1,5
A,0,231.8,5
A,0,247.9,2
A,0,185.2,2
A,0,198.2,5
A,0,215.3,1
A,0,133.8,1
A,0,158.1,4
A,0,188.3,3
A,0,271.2,3
A,0,126.2,3
A,0,253.7,10
A,0,171.3,3
A,0,178.5,7
A,0,234.8,3
A,0,271.0,1
A,0,199.0,1
A,0,232.4,2
A,0,138.6,2
A,0,156.2,6
A,0,119.1,4
A,0,156.8,4
A,0,205.4,2
A,0,189.5,3
A,0,257.7,2
A,0,272.5,3
A,0,173.9,3
A,0,149.4,4
A,0,232.2,2
A,0,236.9,3
A,0,199.9,3
A,0,211.8,2
A,1,204.7,0
A,0,135.5,6
A,0,125.2,4
A,0,177.7,3
A,0,171.0,3
A,0,192.5,2
A,0,174.1,2
A,0,103.4,4
A,0,85.0,2
A,0,213.2,7
A,0,150.2,2
A,0,169.6,3
A,0,154.9,1
A,0,138.9,3
A,0,137.7,3
A,0,225.9,3
A,0,169.2,2
A,1,208.6,5
A,0,214.6,6
A,0,194.2,3
A,0,216.1,2
A,0,180.6,2
A,0,241.4,3
A,0,217.1,3
A,0,223.0,3
A,0,137.8,4
A,0,191.8,4
A,0,97.4,5
A,0,243.0,3
A,0,152.0,3
A,0,158.2,6
A,0,118.5,3
A,0,178.4,2
A,0,167.9,4
A,0,262.0,6
A,0,218.7,4
A,1,156.8,6
A,0,105.0,4
A,0,77.2,3
A,0,133.8,1
A,0,120.1,5
A,0,195.7,2
A,0,173.5,7
A,0,180.8,0
A,0,137.3,5
A,0,186.8,3
A,0,116.1,3
A,0,176.0,6
A,1,217.4,5
A,0,163.6,3
A,0,200.0,1
A,0,91.0,2
A,0,87.4,2
A,0,194.7,3
A,0,227.1,4
A,0,169.3,6
A,0,276.5,6
A,0,115.0,2
A,0,149.4,1
A,0,186.3,4
A,0,200.9,4
A,0,153.7,5
A,0,132.3,2
B,0,278.0,6
B,0,223.2,3
B,0,158.1,2
B,0,247.2,2
B,1,162.8,4
B,0,283.8,2
B,0,205.2,3
B,0,219.4,3
B,0,196.4,0
B,0,207.0,3
B,0,184.7,4
B,1,153.3,2
B,0,210.3,6
B,0,241.1,2
B,0,141.4,7
B,0,264.3,4
B,0,222.1,8
B,0,175.3,5
B,0,174.5,3
B,0,278.9,3
B,0,237.2,7
B,1,246.3,5
B,0,183.7,5
B,1,220.0,2
B,0,210.7,4
B,0,187.1,4
B,0,199.9,1
B,0,245.0,5
B,0,267.0,5
B,0,183.7,3
B,0,135.9,6
B,0,269.0,4
B,0,269.5,5
B,0,213.0,3
B,0,275.7,2
B,0,209.7,1
B,0,154.1,2
B,0,136.0,8
B,0,135.5,7
B,0,195.2,6
B,0,174.0,5
B,1,169.0,3
B,0,190.2,1
B,0,233.6,4
B,0,170.4,0
B,1,162.8,6
B,0,173.4,3
B,0,236.4,3
B,0,191.8,2
B,0,207.6,4
B,0,264.9,10
B,0,322.9,4
B,0,223.8,2
B,0,219.4,2
B,0,141.7,4
B,0,211.6,6
B,1,197.8,7
B,0,235.2,6
B,0,177.4,5
B,0,204.0,1
B,0,222.2,2
B,0,280.4,3
B,0,265.4,4
B,0,252.0,5
B,0,227.7,3
B,1,175.6,7
B,0,227.7,6
B,1,160.2,4
B,0,185.7,4
B,0,275.0,5
B,0,219.2,4
B,0,205.2,4
B,1,211.0,6
B,1,190.8,2
B,0,98.0,2
B,0,138.1,2
B,0,222.8,7
B,0,153.6,4
B,1,190.2,2
B,0,139.8,6
B,0,162.7,3
B,1,194.8,4
B,0,236.6,5
B,0,245.6,1
B,0,161.9,3
B,0,208.8,5
B,0,130.9,5
B,0,197.5,4
B,0,237.9,5
B,0,192.0,6
B,0,254.2,6
B,1,232.7,0
B,0,205.9,8
B,0,183.8,3
B,0,171.0,2
B,0,129.4,0
B,0,136.7,5
B,0,239.8,5
B,0,263.1,2
B,0,146.4,4
B,0,198.1,4
B,0,124.1,5
B,0,151.0,5
B,0,206.7,3
B,0,171.7,3
B,0,108.8,1
B,0,272.3,2
B,0,192.8,1
B,0,145.3,4
B,0,200.8,3
B,0,191.4,0
B,0,214.0,4
B,0,179.7,5
B,0,209.1,5
B,0,237.5,2
B,0,135.7,5
B,0,163.8,5
B,0,232.8,2
B,1,170.2,3
B,0,191.3,6
B,0,173.8,2
B,0,176.6,5
B,0,172.8,3
B,0,138.4,3
B,0,215.7,4
B,0,242.8,5
B,0,187.1,5
B,0,237.7,3
B,0,172.9,2
B,0,170.2,7
B,0,213.5,5
B,1,214.2,4
B,0,189.9,2
B,0,225.4,3
B,0,137.1,6
B,0,181.3,7
B,1,238.4,5
B,0,238.3,3
B,1,232.6,3
B,0,240.9,1
B,0,178.2,7
B,0,118.3,7
B,1,183.4,8
B,0,223.6,6
B,0,231.0,5
B,0,171.3,7
B,0,151.4,1
B,0,155.9,3
B,1,170.5,2
B,0,109.6,4
B,0,171.3,4
B,0,197.2,2
B,0,190.6,1
B,0,180.1,4
B,0,164.0,4
B,0,169.2,6
B,0,170.0,5
B,0,226.7,2
B,0,195.0,2
B,0,337.5,2
B,1,180.0,6
B,1,214.7,4
B,0,181.0,5
B,0,180.0,6
B,0,265.3,3
B,0,239.9,5
B,0,116.0,2
B,0,149.0,4
B,1,188.9,2
B,0,171.7,3
B,0,127.1,3
B,0,200.2,3
B,0,110.5,4
B,0,200.7,3
B,0,227.8,6
B,0,234.3,6
B,0,188.5,2
B,0,263.0,4
B,0,209.9,3
B,0,233.1,5
B,0,161.9,4
B,0,263.5,7
B,0,194.9,5
B,0,266.0,6
B,0,256.1,2
B,0,206.6,5
B,0,213.3,2
B,0,186.9,5
B,1,158.1,1
B,0,221.8,3
B,0,219.5,8
B,1,122.2,5
B,0,191.3,5
B,0,234.1,4
B,0,261.0,5
B,0,227.6,3
B,0,126.7,1
B,0,147.5,2
B,0,179.4,3
B,0,257.9,5
B,0,167.7,7
B,0,242.6,4
B,0,167.0,5
B,0,219.0,7
B,0,152.7,3
B,1,186.3,4
B,1,144.1,3
B,0,259.9,6
B,0,163.7,3
B,1,125.4,2
B,0,121.8,4
B,0,191.2,3
B,0,174.4,5
B,0,224.2,4
B,0,184.4,6
B,0,247.5,4
B,0,177.7,5
B,0,241.2,5
B,0,152.1,4
B,1,127.4,4
B,1,157.9,4
B,0,144.2,3
B,0,139.2,4
B,0,213.6,4
B,0,183.1,3
B,1,201.4,7
B,0,218.7,1
B,0,119.1,2
B,0,220.6,3
B,0,140.8,1
B,0,169.0,3
B,0,109.9,4
B,0,224.5,5
B,0,119.0,2
B,0,141.0,1
B,0,144.3,7
B,0,189.2,2
B,0,187.8,3
B,0,231.5,3
B,0,190.3,4
B,0,238.5,4
B,0,212.1,4
B,1,152.5,2
B,0,165.0,2
B,0,263.0,2
B,0,250.2,3
B,0,232.1,3
B,0,238.0,6
B,0,215.9,6
B,0,210.1,3
B,0,197.2,3
B,0,271.4,4
B,0,174.1,5
B,0,205.8,5
B,0,118.1,3
B,0,130.6,2
B,0,276.7,5
B,0,222.8,2
B,1,185.4,6
B,0,198.5,5
B,0,133.9,3
B,0,175.7,4
B,0,129.4,2
B,1,181.7,6
B,0,225.6,3
B,0,215.4,1
B,0,266.5,6
B,0,208.3,3
B,0,83.5,4
B,0,282.8,3
B,0,157.2,5
B,0,202.3,5
B,0,199.6,2
B,0,205.8,1
B,0,197.2,6
B,0,198.0,4
B,0,135.5,4
B,0,311.4,3
B,0,224.3,7
B,0,197.3,6
B,0,277.9,5
B,0,146.8,3
B,0,234.1,4
B,0,170.0,2
B,0,213.1,2
B,0,214.1,2
B,0,89.9,5
B,0,130.6,5
B,0,266.4,5
B,0,183.7,4
B,0,285.1,5
B,0,254.0,5
B,0,185.1,4
B,0,181.1,2
B,0,269.2,3
B,0,289.6,3
B,0,182.1,7
B,0,264.2,8
B,0,241.4,5
B,0,249.1,9
B,0,199.6,3
B,1,164.7,8
B,0,147.6,2
B,0,136.3,3
B,0,281.0,5
B,1,195.5,6
B,0,143.5,1
B,0,240.1,7
B,0,173.5,4
B,0,165.7,6
B,0,288.1,2
B,0,135.1,5
B,0,205.6,7
B,0,168.4,5
B,0,161.2,0
B,0,129.1,7
B,0,197.7,4
B,0,155.7,4
B,0,221.6,7
B,1,192.9,3
B,0,180.9,3
B,0,155.9,6
B,0,259.4,2
B,0,228.1,4
B,0,164.3,6
B,0,133.8,3
B,1,110.0,3
B,0,246.2,3
B,0,235.9,1
B,1,242.1,2
B,0,189.6,2
B,0,231.3,4
B,0,241.2,4
B,0,191.9,4
B,0,178.9,4
B,0,151.1,3
B,0,214.2,4
B,0,220.2,6
B,0,176.7,8
B,0,182.0,3
B,1,185.2,2
B,0,230.6,3
B,0,133.2,2
B,0,145.3,8
B,0,146.1,8
B,0,188.3,5
B,0,209.2,4
B,0,146.9,2
B,0,235.9,2
B,0,260.8,5
B,0,213.6,7
B,0,245.5,5
B,1,153.8,7
B,1,154.9,1
B,0,218.2,4
B,0,193.3,3
B,0,154.8,7
B,0,259.1,3
B,1,208.4,4
B,0,226.6,6
B,0,164.7,3
B,0,270.6,5
B,0,188.0,4
B,1,240.9,5
B,1,168.8,2
B,0,202.6,5
B,0,220.1,9
B,0,284.8,2
B,0,175.2,2
B,0,204.1,5
B,1,221.6,1
B,0,131.3,6
B,0,97.2,6
B,0,150.2,5
B,0,238.5,3
B,0,272.2,8
B,0,153.5,1
B,0,140.2,0
B,0,264.1,1
B,1,169.6,7
B,0,178.3,2
B,1,260.7,5
B,0,253.3,5
B,0,237.0,2
B,0,118.0,3
B,0,138.4,2
B,0,245.4,5
B,1,209.3,7
B,0,160.0,4
B,0,179.5,5
B,0,245.0,2
B,0,263.7,4
B,0,194.7,3
B,0,164.1,5
B,0,182.6,6
B,0,255.4,2
B,0,254.6,4
B,0,203.7,3
B,0,171.2,6
B,0,243.7,2
B,0,268.0,7
B,0,129.6,3
B,1,184.5,4
B,0,247.0,3
B,0,198.3,0
B,0,173.0,4
B,0,203.3,6
B,0,211.7,3
B,0,144.3,8
B,1,199.1,0
B,0,211.5,7
B,0,172.9,1
B,0,159.9,6
B,0,170.8,4
B,0,151.3,5
B,0,233.3,4
B,0,150.7,4
B,0,203.5,3
B,0,178.2,8
B,0,163.2,1
B,0,256.7,5
B,0,189.1,2
B,0,164.9,3
B,0,160.6,7
B,0,210.3,3
B,0,232.2,6
B,0,252.2,3
B,0,187.5,3
B,0,184.8,4
B,0,200.9,5
B,0,202.5,4
B,0,160.3,7
B,1,260.8,3
B,0,196.0,3
B,0,219.1,8
B,1,214.1,1
B,0,213.2,4
B,0,149.8,4
B,0,194.7,3
B,0,297.6,6
B,1,266.4,5
B,1,202.1,2
B,0,178.5,6
B,0,95.2,5
B,0,172.6,3
B,0,191.5,4
B,0,180.7,7
B,0,183.9,4
B,1,223.0,3
B,0,150.0,3
B,0,207.3,0
B,0,190.0,5
B,1,155.3,4
B,0,270.3,6
B,0,228.7,1
B,0,159.6,6
B,0,218.3,4
B,0,132.5,11
B,0,165.1,6
B,1,254.7,2
B,0,210.8,7
B,0,207.2,4
B,0,239.4,2
B,0,222.5,3
B,0,183.0,2
B,0,237.1,0
B,0,119.0,4
B,0,165.0,5
B,1,190.6,5
B,1,219.6,4
B,0,180.4,5
B,1,114.7,2
B,1,108.4,2
B,0,191.9,5
B,0,173.5,4
B,0,154.1,5
B,0,146.5,4
B,0,201.0,2
B,0,253.6,3
B,0,201.0,3
B,0,254.2,4
B,0,178.2,1
B,0,215.0,3
B,0,255.8,7
B,0,187.9,3
B,0,196.2,6
B,0,178.1,3
B,1,221.7,4
B,1,235.6,6
B,1,210.8,8
B,0,184.7,1
B,0,127.5,5
B,0,192.8,4
B,0,186.4,6
B,0,205.6,4
B,0,200.3,3
B,0,265.8,4
B,0,163.7,2
B,0,124.1,6
B,1,143.6,3
B,0,166.5,2
B,0,243.7,3
B,0,136.6,3
B,0,142.6,4
B,1,213.6,6
B,0,233.2,4
B,0,125.3,2
B,0,115.3,5
B,0,159.6,9
B,0,224.6,3
B,0,201.4,7
B,0,161.3,3
B,0,228.3,7
B,0,200.6,6
B,0,190.2,5
B,0,122.4,0
B,0,160.3,5
B,0,283.1,7
B,0,179.9,4
B,1,151.9,7
B,0,177.8,4
B,1,200.4,8
B,0,234.8,4
B,0,222.9,3
B,0,164.6,4
B,0,252.2,4
B,0,231.7,7
B,0,175.0,4
B,0,189.2,3
B,0,222.0,3
B,0,243.4,4
B,0,126.7,2
B,0,198.2,5
B,0,193.6,1
B,0,169.3,3
B,0,169.1,4
B,0,242.4,6
B,0,219.1,1
B,1,289.8,6
B,0,169.4,7
B,0,201.2,10
B,1,208.9,4
B,0,235.3,6
B,0,256.1,5
B,0,199.2,4
B,0,145.7,6
B,1,163.0,4
B,0,201.4,2
B,0,245.5,2
B,0,129.9,2
B,0,142.3,1
B,0,229.1,6
B,1,136.8,3
B,0,144.4,4
B,0,246.1,3
B,1,185.0,3
B,0,181.6,5
B,0,256.6,2
B,0,147.2,2
B,0,138.1,7
B,0,268.3,4
B,0,205.5,6
B,0,225.6,2
B,0,181.0,2
B,0,190.2,6
B,0,163.3,3
B,0,209.3,5
B,0,232.4,9
B,1,203.8,4
B,0,242.7,3
B,0,224.8,2
B,1,147.8,4
B,0,188.5,4
B,1,174.8,6
B,0,228.9,6
B,0,215.8,4
B,0,200.7,2
B,0,240.6,2
B,0,111.0,8
B,0,167.9,4
B,0,171.7,1
B,0,206.3,4
B,0,219.9,5
B,0,194.9,5
B,0,135.8,3
B,0,213.3,2
B,0,200.8,6
B,0,128.9,4
B,0,181.7,4
B,0,211.8,3
B,0,269.4,3
B,1,146.0,0
B,1,230.6,5
B,0,146.6,0
B,0,137.8,12
B,0,140.5,7
B,0,222.2,1
B,0,200.8,7
B,0,180.8,2
B,0,215.6,2
