purchase_count,avg_spend,days_since_last_purchase,membership_days,support_tickets,contract_type,is_churned
9,160.53,27.2,128,0,month_to_month,0
7,98.31,19.6,44,2,month_to_month,0
4,120.7,2.7,334,4,two_year,0
7,156.48,9.0,67,0,month_to_month,0
8,115.65,9.7,102,2,month_to_month,0
4,114.03,36.9,76,2,month_to_month,0
5,98.49,63.7,267,1,one_year,0
6,111.41,2.3,152,0,two_year,0
6,89.32,30.4,266,2,month_to_month,1
5,207.8,2.9,233,0,one_year,0
5,62.56,12.3,35,1,one_year,0
5,93.49,156.2,133,1,one_year,1
8,116.24,30.0,31,2,one_year,0
7,114.06,21.1,51,1,two_year,0
2,89.27,65.8,188,3,month_to_month,1
6,55.3,36.5,118,3,month_to_month,1
6,65.82,8.8,59,0,one_year,0
5,104.5,24.9,166,2,month_to_month,0
3,50.01,25.7,181,1,month_to_month,0
3,118.79,26.0,362,1,month_to_month,0
3,139.96,12.2,251,5,month_to_month,0
7,125.33,32.5,161,3,two_year,0
4,133.08,17.0,188,0,month_to_month,0
4,50.64,75.1,59,2,one_year,1
5,90.38,9.4,159,1,one_year,0
4,71.0,33.5,224,0,month_to_month,0
7,58.27,31.9,37,1,month_to_month,1
7,84.49,14.0,338,0,month_to_month,0
2,155.22,6.2,202,0,month_to_month,0
6,168.93,2.7,293,2,month_to_month,0
2,73.91,30.6,122,0,one_year,1
6,100.48,16.3,310,1,month_to_month,0
7,110.92,19.0,152,1,month_to_month,1
9,90.58,15.0,340,1,month_to_month,0
2,143.17,4.1,204,1,month_to_month,1
3,84.9,18.3,243,0,month_to_month,0
4,80.45,0.5,98,0,two_year,0
3,75.16,13.8,363,0,month_to_month,0
8,90.38,21.8,94,0,month_to_month,0
3,38.27,71.0,41,1,one_year,1
8,91.74,4.1,177,1,one_year,0
4,102.4,27.1,309,4,one_year,0
3,44.53,13.1,338,2,month_to_month,0
4,104.42,48.9,317,0,one_year,0
6,69.63,8.0,215,1,month_to_month,0
10,103.8,15.8,337,0,one_year,0
5,103.12,37.5,194,1,month_to_month,0
3,103.84,12.3,190,3,one_year,0
4,126.1,47.5,90,2,one_year,1
12,30.38,2.0,293,0,one_year,0
9,68.7,8.5,135,2,month_to_month,1
1,90.92,0.7,95,2,one_year,0
7,54.1,39.2,153,0,one_year,0
5,122.4,15.5,232,1,month_to_month,0
1,72.12,26.1,120,0,month_to_month,1
7,132.2,2.7,150,2,month_to_month,0
2,133.68,25.3,140,1,month_to_month,0
3,93.72,9.5,229,3,one_year,0
7,92.18,31.6,269,2,month_to_month,0
4,60.78,10.4,256,2,one_year,0
6,99.46,14.4,77,0,one_year,0
7,125.75,15.5,146,1,one_year,0
2,107.85,167.6,247,2,one_year,1
2,148.7,59.2,102,0,one_year,0
7,87.59,0.6,53,1,month_to_month,0
7,87.55,12.3,137,1,month_to_month,0
5,73.68,65.1,257,1,one_year,1
9,179.31,25.8,252,0,two_year,0
5,60.6,38.4,73,2,month_to_month,0
2,122.88,7.4,256,1,two_year,0
3,126.57,2.8,95,3,two_year,0
2,124.86,8.8,278,0,month_to_month,0
3,75.63,95.3,219,3,one_year,1
3,64.02,24.6,72,2,one_year,0
2,93.7,16.2,147,2,month_to_month,0
6,117.29,29.9,304,1,month_to_month,0
4,80.92,34.0,174,1,month_to_month,0
4,89.58,34.1,260,0,one_year,0
2,81.36,12.3,280,0,month_to_month,0
2,101.58,147.9,40,0,one_year,1
1,99.49,7.5,342,0,one_year,0
5,157.27,62.5,142,1,one_year,0
7,118.1,16.5,295,0,month_to_month,0
7,65.07,26.0,186,0,month_to_month,0
3,66.73,29.5,223,1,month_to_month,1
1,123.57,5.3,150,3,month_to_month,0
7,99.16,9.8,315,2,month_to_month,0
5,175.69,32.1,69,2,month_to_month,0
3,175.52,50.9,330,1,month_to_month,0
5,73.54,26.4,99,0,one_year,1
4,108.37,72.8,325,1,month_to_month,1
6,67.0,17.9,38,0,month_to_month,0
7,122.91,14.0,34,0,two_year,0
5,164.66,52.6,61,2,month_to_month,0
4,103.63,1.3,213,2,two_year,0
9,86.62,50.6,119,1,one_year,0
6,111.84,8.8,230,2,month_to_month,0
2,130.87,29.0,304,2,two_year,0
8,131.15,0.5,39,3,two_year,0
6,86.92,11.8,206,0,one_year,0
5,80.28,85.9,277,3,month_to_month,1
5,106.54,35.9,172,0,month_to_month,0
2,88.74,10.0,339,0,month_to_month,0
5,143.18,5.9,251,1,one_year,0
8,88.41,15.3,41,2,month_to_month,0
5,101.27,7.1,211,1,month_to_month,1
2,110.96,64.7,158,0,month_to_month,0
8,61.31,31.1,74,1,month_to_month,0
4,82.41,30.5,348,0,month_to_month,0
5,173.07,68.7,104,0,month_to_month,1
6,129.1,29.9,57,0,two_year,0
8,88.04,151.3,104,2,month_to_month,1
5,123.07,13.3,305,1,month_to_month,0
2,142.42,28.4,230,1,month_to_month,1
5,92.33,8.1,304,1,month_to_month,0
6,127.13,23.5,184,1,one_year,0
3,121.41,16.9,69,1,month_to_month,0
8,67.35,5.9,159,1,two_year,0
4,92.49,9.4,96,2,two_year,0
6,158.64,13.3,216,0,one_year,0
7,171.4,21.4,120,1,one_year,0
5,129.44,36.3,354,1,month_to_month,0
8,81.53,12.5,156,1,one_year,0
6,45.71,7.7,135,0,month_to_month,0
4,78.06,59.4,359,1,one_year,0
6,64.43,83.4,204,0,month_to_month,1
4,162.52,18.2,87,3,month_to_month,0
7,53.68,18.2,190,2,month_to_month,0
3,67.94,1.9,115,0,one_year,0
8,105.85,9.6,270,3,one_year,1
11,98.94,8.6,222,3,month_to_month,0
5,156.04,25.1,274,0,month_to_month,0
4,119.02,4.1,344,2,month_to_month,0
5,94.6,12.0,274,3,one_year,0
4,144.04,38.6,144,1,month_to_month,0
4,87.25,33.7,97,2,month_to_month,0
6,160.22,10.7,207,1,one_year,0
8,74.71,4.3,180,1,one_year,0
5,36.15,11.6,134,0,one_year,0
9,97.8,21.3,301,1,one_year,0
4,48.0,23.2,334,2,two_year,0
2,131.58,2.9,157,0,month_to_month,0
0,103.97,13.9,258,2,month_to_month,0
4,160.37,55.9,359,2,two_year,0
6,91.43,86.9,33,2,month_to_month,1
7,61.01,89.1,152,1,one_year,0
3,114.18,2.6,277,0,month_to_month,0
2,83.18,79.0,196,0,month_to_month,0
6,125.52,47.7,295,3,month_to_month,0
6,75.21,31.3,188,2,one_year,0
5,150.81,19.8,51,0,one_year,0
3,101.25,8.3,175,1,month_to_month,0
7,94.72,26.8,165,2,month_to_month,0
3,147.5,3.8,313,3,month_to_month,0
6,132.21,1.9,79,2,month_to_month,0
4,78.49,75.5,82,1,month_to_month,0
3,130.98,8.4,77,1,two_year,0
4,122.32,69.8,220,0,month_to_month,1
3,96.41,5.4,363,1,month_to_month,0
5,127.59,9.0,237,0,month_to_month,0
4,150.58,6.2,303,1,month_to_month,0
5,97.31,16.3,315,0,month_to_month,0
8,97.41,58.3,231,2,one_year,0
4,95.74,70.6,234,2,one_year,0
5,77.49,20.1,111,0,one_year,0
8,96.99,33.3,351,2,month_to_month,0
4,93.6,3.1,293,0,one_year,0
4,91.88,2.8,322,0,two_year,0
6,91.45,49.8,359,0,two_year,0
4,67.88,15.6,146,4,two_year,0
3,136.46,42.5,78,1,month_to_month,0
4,82.37,16.2,318,1,two_year,0
6,153.36,23.2,188,1,one_year,0
9,72.49,29.2,351,0,one_year,0
6,164.73,18.4,262,1,one_year,0
5,88.58,15.1,116,1,two_year,0
2,131.49,15.0,148,1,month_to_month,0
6,103.65,4.4,234,2,one_year,0
3,64.89,36.3,162,0,one_year,0
3,65.99,5.0,124,1,one_year,0
8,80.19,7.0,100,2,one_year,0
5,87.0,16.3,247,1,month_to_month,0
6,98.28,16.5,41,1,month_to_month,1
3,110.62,14.4,61,0,month_to_month,0
4,94.22,52.3,44,1,one_year,1
5,108.75,10.7,275,2,one_year,0
13,114.34,62.6,39,1,one_year,0
4,92.9,26.7,170,0,one_year,0
5,121.68,24.4,70,2,one_year,0
4,130.26,28.5,226,0,month_to_month,0
4,115.26,7.1,41,1,one_year,0
3,117.34,27.6,38,3,two_year,0
8,105.7,49.5,167,1,one_year,0
6,140.29,33.9,262,4,two_year,0
6,98.99,2.9,66,1,two_year,0
4,80.65,14.3,196,2,month_to_month,0
6,99.92,0.8,301,1,one_year,0
3,65.25,13.4,239,1,month_to_month,0
6,62.75,4.7,281,2,month_to_month,0
9,130.46,18.5,135,0,month_to_month,0
7,154.18,1.0,345,1,month_to_month,0
5,89.45,81.8,78,1,month_to_month,1
4,130.86,11.8,232,0,one_year,0
6,54.58,43.3,175,1,month_to_month,1
3,51.58,7.5,40,4,month_to_month,0
6,141.56,38.1,346,2,month_to_month,0
4,115.38,12.9,265,1,month_to_month,0
4,99.12,28.8,106,0,two_year,0
3,162.4,82.3,47,2,month_to_month,1
12,94.75,32.7,256,1,month_to_month,0
2,70.79,4.3,212,2,two_year,0
5,59.98,67.3,46,2,one_year,0
10,99.89,39.7,360,0,one_year,0
3,105.63,58.8,270,0,one_year,0
5,92.94,68.3,184,4,month_to_month,1
4,131.8,9.1,109,0,one_year,0
6,148.68,12.0,120,2,month_to_month,0
6,89.15,43.1,181,0,month_to_month,1
0,54.55,1.7,49,3,month_to_month,0
3,108.95,11.4,153,1,one_year,0
5,141.19,13.0,102,0,month_to_month,0
4,89.27,60.4,67,5,month_to_month,1
9,117.33,85.5,72,2,month_to_month,0
4,69.15,4.8,145,1,one_year,0
6,108.12,20.6,158,0,month_to_month,0
5,118.01,39.4,147,1,month_to_month,1
7,109.07,12.5,261,0,month_to_month,0
4,176.38,22.8,204,2,one_year,0
9,153.56,7.8,94,1,month_to_month,0
3,123.99,43.6,355,0,two_year,0
8,136.89,42.6,274,0,month_to_month,0
10,107.88,16.9,187,0,month_to_month,1
8,97.75,12.9,46,0,month_to_month,1
4,86.29,9.3,336,0,month_to_month,0
4,68.68,2.2,279,1,month_to_month,0
3,155.9,24.3,184,1,month_to_month,0
5,178.71,62.4,84,2,two_year,0
5,100.65,3.9,66,2,month_to_month,0
5,101.19,15.8,127,0,month_to_month,1
7,119.56,64.0,107,2,month_to_month,0
5,94.89,50.5,100,0,month_to_month,0
2,71.43,38.9,166,0,month_to_month,0
2,64.64,0.5,45,1,month_to_month,0
8,176.57,33.7,138,0,month_to_month,0
5,57.02,10.6,321,2,month_to_month,1
5,110.37,43.0,320,0,two_year,0
3,59.36,7.6,32,1,one_year,0
7,96.36,0.1,257,2,two_year,0
5,89.01,21.0,362,1,month_to_month,0
3,62.38,10.2,223,1,two_year,0
7,120.88,26.4,160,1,month_to_month,0
6,69.85,9.8,194,1,month_to_month,0
7,59.76,44.9,101,1,one_year,0
2,125.09,20.7,163,1,month_to_month,0
4,89.13,8.8,343,4,month_to_month,0
4,77.88,37.9,235,1,one_year,0
9,127.54,71.4,174,1,one_year,0
6,68.73,68.3,71,0,month_to_month,1
7,55.02,114.2,333,1,month_to_month,1
9,145.43,35.4,84,1,month_to_month,0
4,168.17,28.4,271,3,two_year,0
6,95.55,2.4,131,0,month_to_month,0
4,35.11,7.6,123,0,month_to_month,0
2,95.15,10.9,87,0,month_to_month,0
5,129.87,23.1,155,1,two_year,0
3,140.66,51.8,256,0,one_year,0
6,71.18,18.3,169,0,month_to_month,0
5,90.5,8.6,38,1,two_year,0
3,107.65,15.0,118,1,month_to_month,0
7,127.46,1.1,83,0,two_year,0
2,123.13,9.1,164,1,month_to_month,0
4,116.85,1.3,332,3,month_to_month,0
3,140.54,21.9,352,2,month_to_month,0
7,97.7,78.6,364,2,two_year,0
5,156.37,16.4,67,0,two_year,0
3,83.24,42.1,193,0,one_year,0
7,123.75,35.0,45,1,month_to_month,0
6,87.0,29.0,195,1,month_to_month,0
7,95.99,53.9,223,2,month_to_month,0
3,100.73,25.3,289,1,month_to_month,0
7,85.46,29.3,142,0,month_to_month,1
5,142.53,12.5,42,3,one_year,0
2,88.33,40.8,182,3,one_year,1
4,99.11,6.4,173,0,two_year,0
2,119.13,37.5,239,0,month_to_month,0
3,201.8,115.4,63,1,month_to_month,1
6,120.51,9.1,235,1,month_to_month,0
2,101.85,40.7,164,0,month_to_month,1
4,52.05,42.3,277,1,one_year,0
7,95.19,2.2,359,1,one_year,0
5,80.71,33.6,106,1,month_to_month,1
6,90.12,21.5,282,0,month_to_month,1
3,86.43,19.0,72,0,two_year,0
5,118.75,62.5,359,0,month_to_month,0
8,94.56,11.6,191,1,month_to_month,0
2,74.7,115.6,279,1,one_year,1
4,131.61,21.4,290,1,one_year,0
7,66.47,2.4,233,4,month_to_month,0
3,100.38,2.9,158,1,one_year,0
3,95.41,51.7,282,2,two_year,1
8,111.39,43.6,189,3,month_to_month,0
3,141.02,36.1,250,0,month_to_month,0
3,212.48,2.7,235,0,one_year,0
2,101.83,30.3,185,1,one_year,0
4,80.3,165.8,69,0,month_to_month,1
2,77.89,43.1,128,1,month_to_month,0
9,77.78,8.6,344,3,one_year,0
6,110.1,44.9,204,0,month_to_month,1
4,48.27,2.1,243,0,month_to_month,0
6,65.2,11.0,116,2,month_to_month,1
2,110.13,71.5,266,3,month_to_month,1
6,133.71,46.4,193,1,two_year,0
4,133.97,45.1,103,0,one_year,0
9,103.33,31.7,78,3,month_to_month,1
6,128.16,60.8,162,1,two_year,0
5,141.82,10.3,219,1,month_to_month,0
6,87.91,82.9,123,0,month_to_month,1
5,137.12,46.6,112,2,month_to_month,0
6,58.23,2.7,120,2,one_year,0
6,64.63,50.3,128,2,one_year,0
4,89.56,25.1,277,2,one_year,0
7,55.86,24.6,197,0,month_to_month,0
4,119.37,51.1,187,1,month_to_month,1
4,83.81,13.3,84,0,month_to_month,0
8,95.72,2.4,212,1,two_year,0
6,32.61,97.2,352,3,month_to_month,1
2,96.84,97.2,279,2,one_year,1
9,88.86,44.8,179,2,one_year,0
5,77.63,46.3,132,1,month_to_month,1
3,117.54,48.5,148,0,month_to_month,0
7,83.25,147.8,38,0,month_to_month,1
3,96.44,2.7,39,0,one_year,1
0,111.74,1.5,290,2,two_year,0
8,141.43,9.6,312,2,month_to_month,0
5,137.8,27.1,354,0,two_year,0
4,85.57,43.1,239,3,month_to_month,0
2,76.36,22.1,341,3,month_to_month,0
4,150.68,33.6,169,3,two_year,0
6,83.11,17.9,115,1,two_year,0
5,116.04,19.3,112,1,month_to_month,0
3,54.9,13.8,109,1,one_year,0
4,47.85,28.0,279,2,two_year,0
1,101.79,4.0,33,2,one_year,0
8,92.33,2.5,346,3,one_year,0
6,125.37,20.8,289,1,month_to_month,0
5,77.91,13.1,157,0,month_to_month,0
5,109.08,13.2,265,2,one_year,0
4,123.23,69.5,75,1,month_to_month,1
3,78.9,165.7,174,0,month_to_month,1
5,89.53,28.8,66,0,month_to_month,0
4,68.59,5.2,67,0,month_to_month,0
8,126.81,46.0,32,3,month_to_month,0
7,118.02,24.6,296,1,month_to_month,0
4,120.82,42.6,279,2,month_to_month,1
5,92.21,30.2,329,2,month_to_month,0
11,117.38,3.5,358,2,two_year,0
5,37.91,31.8,353,0,one_year,0
3,94.78,31.0,362,3,month_to_month,1
8,159.04,108.8,35,1,month_to_month,1
5,99.22,71.9,292,0,month_to_month,0
7,135.22,130.5,272,2,one_year,1
4,92.37,85.6,84,1,one_year,1
5,147.83,3.7,75,1,one_year,0
6,76.3,2.0,357,0,one_year,0
6,113.39,62.7,325,0,month_to_month,0
3,80.98,45.7,139,3,month_to_month,0
7,107.59,2.9,55,1,month_to_month,0
4,83.23,4.3,141,0,month_to_month,0
3,99.1,37.9,31,1,month_to_month,1
4,87.01,17.8,260,2,one_year,1
10,121.84,40.8,157,0,month_to_month,1
4,114.89,12.9,46,1,one_year,0
5,80.09,8.6,358,0,month_to_month,0
4,79.37,98.2,306,1,month_to_month,1
6,74.22,11.9,333,1,one_year,0
2,69.65,71.9,364,0,month_to_month,0
6,124.45,11.6,34,2,month_to_month,0
3,72.91,0.1,289,0,month_to_month,0
9,110.42,0.4,293,1,one_year,0
3,84.67,21.1,291,1,month_to_month,0
4,133.96,36.1,118,1,two_year,0
6,171.62,3.1,160,3,two_year,0
7,34.58,14.3,341,2,one_year,0
4,75.99,16.8,52,1,month_to_month,0
7,84.23,16.5,244,1,one_year,0
9,93.21,47.0,295,0,month_to_month,0
2,91.41,14.7,297,0,two_year,0
6,64.34,26.4,230,3,month_to_month,0
9,172.8,24.2,286,1,month_to_month,0
10,92.46,14.6,334,1,month_to_month,0
5,114.73,4.0,286,1,one_year,0
6,115.84,10.4,68,2,two_year,0
7,59.7,0.1,111,1,month_to_month,0
6,88.56,17.4,132,2,month_to_month,1
8,124.44,34.3,144,1,one_year,0
4,150.93,28.8,150,0,one_year,0
7,89.15,62.9,103,3,one_year,0
4,63.2,24.7,258,0,month_to_month,0
4,81.99,8.7,66,1,one_year,1
5,87.95,7.9,293,0,two_year,0
5,86.91,39.2,250,2,month_to_month,0
5,74.25,3.5,351,2,month_to_month,0
5,61.04,3.2,32,1,month_to_month,1
5,68.38,95.8,128,0,month_to_month,0
2,82.21,20.2,330,2,one_year,0
8,123.78,19.1,195,2,month_to_month,0
3,138.61,30.4,217,2,month_to_month,0
8,102.51,69.6,39,3,month_to_month,0
5,69.0,54.2,285,0,two_year,0
3,83.69,20.0,114,0,one_year,0
7,48.58,39.8,352,3,month_to_month,0
10,151.88,20.3,155,0,one_year,0
3,79.59,67.7,93,0,month_to_month,0
3,111.68,33.6,228,3,one_year,0
3,135.45,27.8,189,2,one_year,0
7,165.51,29.0,187,0,month_to_month,0
8,128.12,4.0,348,4,two_year,0
7,86.73,69.7,152,0,month_to_month,1
5,116.4,90.9,163,2,one_year,1
3,163.47,6.0,239,2,month_to_month,0
8,79.35,1.6,87,2,one_year,0
4,60.06,16.3,307,1,month_to_month,0
5,74.43,14.6,107,0,month_to_month,0
2,113.93,27.7,110,1,month_to_month,1
2,87.44,6.3,33,4,two_year,0
3,96.19,11.9,144,0,month_to_month,0
3,119.96,21.0,225,1,one_year,0
2,73.91,3.1,266,2,month_to_month,0
3,94.69,6.1,331,1,one_year,0
6,83.23,42.1,290,1,month_to_month,0
6,161.27,3.5,137,1,one_year,0
6,126.83,92.2,306,2,two_year,1
4,87.63,32.9,95,0,month_to_month,1
4,86.08,59.7,100,2,month_to_month,1
2,167.34,5.8,149,2,two_year,0
7,162.73,12.2,210,1,month_to_month,0
5,113.69,50.2,98,0,month_to_month,0
2,97.59,18.0,331,1,month_to_month,0
4,64.72,121.2,120,2,one_year,1
7,74.64,39.9,161,1,two_year,0
2,63.14,134.6,232,3,one_year,1
6,137.2,8.3,174,0,one_year,0
4,65.04,81.9,165,0,month_to_month,1
8,85.73,4.6,359,2,month_to_month,0
5,51.58,53.9,176,1,month_to_month,1
3,58.13,25.9,67,3,month_to_month,1
8,121.71,0.8,274,1,month_to_month,0
6,108.15,0.5,266,2,one_year,0
3,98.71,37.5,103,2,month_to_month,0
8,86.23,7.1,314,1,month_to_month,0
5,55.7,6.1,161,5,month_to_month,0
4,82.58,85.9,80,0,month_to_month,1
3,92.89,4.6,87,3,month_to_month,0
4,119.07,16.4,269,0,month_to_month,0
8,134.74,10.6,102,0,month_to_month,0
6,122.93,49.2,187,1,month_to_month,1
4,107.95,61.8,275,1,one_year,0
5,98.23,17.2,315,1,two_year,0
5,104.57,40.7,194,3,one_year,1
9,80.83,6.2,333,2,one_year,0
5,100.89,71.6,131,1,two_year,1
8,92.72,1.6,322,0,month_to_month,0
3,189.48,54.4,113,2,one_year,0
8,105.41,23.2,51,0,month_to_month,0
7,47.26,25.3,272,3,month_to_month,0
4,84.78,47.4,283,3,month_to_month,0
3,89.5,8.6,340,4,month_to_month,0
6,128.2,30.3,338,1,one_year,0
4,109.63,22.0,64,1,month_to_month,0
5,107.88,28.2,238,0,one_year,0
6,146.36,15.2,265,2,two_year,0
3,162.99,3.2,231,0,month_to_month,0
2,121.65,66.2,36,1,month_to_month,1
8,86.83,25.8,45,2,month_to_month,0
4,87.66,13.9,254,1,month_to_month,0
5,29.29,37.8,316,3,two_year,0
0,140.18,6.8,90,1,one_year,0
5,87.58,87.8,45,0,one_year,1
4,96.12,3.1,165,0,month_to_month,0
1,84.2,24.8,135,0,one_year,0
5,68.62,91.0,359,0,one_year,1
8,184.35,91.9,340,1,month_to_month,0
2,96.33,8.7,216,3,month_to_month,0
6,153.16,1.8,348,1,month_to_month,0
1,87.95,16.3,106,1,month_to_month,0
5,79.58,6.2,362,4,two_year,0
6,118.36,18.2,179,4,one_year,0
3,134.56,6.9,189,1,month_to_month,0
7,137.36,1.0,46,0,two_year,0
7,92.49,8.9,89,1,month_to_month,0
2,122.26,95.1,95,1,month_to_month,1
4,82.32,4.0,193,3,two_year,0
2,100.48,9.9,93,0,two_year,0
4,89.67,16.2,64,1,one_year,0
9,85.37,38.7,232,3,month_to_month,0
3,101.8,55.5,322,2,two_year,0
2,68.04,25.5,53,1,one_year,1
4,130.98,90.2,217,1,one_year,1
8,85.48,6.9,351,2,month_to_month,0
3,128.99,61.0,165,1,month_to_month,0
3,72.57,18.4,91,0,one_year,0
2,85.39,40.3,56,0,two_year,0
5,67.96,3.8,343,0,one_year,0
2,67.15,24.3,165,6,month_to_month,0
1,75.62,31.9,65,0,one_year,0
8,72.93,45.5,320,2,month_to_month,0
3,68.15,161.2,298,1,month_to_month,1
6,98.32,79.5,265,1,month_to_month,0
4,117.62,18.9,58,2,month_to_month,1
4,119.57,12.2,57,0,one_year,0
1,54.34,14.9,103,3,month_to_month,1
7,89.49,108.4,83,2,month_to_month,1
6,86.69,7.1,208,1,two_year,1
3,147.22,122.8,161,1,one_year,1
4,90.57,40.6,286,1,month_to_month,0
9,95.73,13.6,63,4,month_to_month,1
6,60.51,65.1,273,1,one_year,0
3,74.99,11.4,342,2,month_to_month,0
8,59.31,38.9,73,0,month_to_month,1
4,100.3,17.1,248,2,month_to_month,0
3,148.75,22.2,200,0,month_to_month,0
6,75.81,42.5,61,1,one_year,1
3,90.8,32.0,128,1,month_to_month,0
7,73.07,0.6,293,1,month_to_month,0
3,80.25,14.8,321,2,month_to_month,0
3,100.97,20.3,153,1,month_to_month,0
8,171.1,6.2,65,0,month_to_month,0
0,146.34,32.0,112,0,two_year,0
5,160.17,16.9,312,3,month_to_month,0
3,129.36,39.0,220,0,month_to_month,0
7,90.43,0.2,174,0,month_to_month,0
9,86.54,88.0,34,4,one_year,1
9,75.96,9.6,292,1,month_to_month,0
0,40.37,15.7,185,1,two_year,0
8,89.97,16.7,212,1,one_year,0
1,149.44,9.4,312,0,month_to_month,0
13,148.89,16.7,218,1,one_year,0
5,192.0,18.0,340,2,month_to_month,0
4,103.32,0.1,217,0,two_year,1
3,64.69,13.3,144,0,two_year,0
5,115.16,1.2,339,2,month_to_month,0
5,171.73,36.2,245,1,one_year,0
6,155.85,32.3,284,0,month_to_month,0
7,83.42,27.2,105,0,month_to_month,0
10,66.64,21.1,254,2,one_year,0
4,66.04,23.7,217,2,two_year,0
4,77.48,67.6,65,0,month_to_month,0
9,81.17,7.0,115,1,one_year,0
4,88.3,26.4,335,2,one_year,0
7,119.97,122.8,221,1,month_to_month,1
2,87.34,18.0,289,1,one_year,0
3,99.05,7.4,87,1,one_year,1
7,57.99,13.3,102,1,one_year,0
8,75.99,15.1,345,1,two_year,0
5,74.88,16.3,170,0,month_to_month,0
4,54.86,4.6,327,3,month_to_month,0
3,86.65,21.7,300,1,month_to_month,0
3,58.13,32.9,142,2,month_to_month,0
5,84.73,3.5,348,2,month_to_month,0
3,101.47,6.1,290,1,two_year,0
3,150.28,13.5,72,2,month_to_month,0
6,73.68,31.5,61,2,one_year,0
4,100.57,7.0,72,1,month_to_month,0
6,79.18,13.2,278,1,month_to_month,0
2,57.1,48.8,77,0,one_year,1
3,150.85,83.4,124,1,one_year,1
4,102.92,10.7,175,0,month_to_month,0
5,113.29,6.7,75,0,two_year,0
1,158.89,12.1,140,3,month_to_month,0
5,84.6,30.9,257,1,month_to_month,1
8,63.64,2.6,355,2,month_to_month,0
13,73.35,1.0,187,1,one_year,0
8,61.78,119.7,280,1,month_to_month,1
6,137.02,1.7,207,4,one_year,0
4,173.97,27.7,186,2,month_to_month,0
3,101.12,57.0,204,0,month_to_month,0
6,121.05,14.7,351,0,two_year,0
4,131.11,0.4,49,0,month_to_month,0
12,162.4,34.6,201,2,month_to_month,1
6,171.52,3.9,47,1,month_to_month,0
5,50.69,5.1,323,1,month_to_month,0
2,79.89,21.9,231,0,month_to_month,0
6,97.5,22.1,45,0,month_to_month,0
3,76.8,94.8,238,1,one_year,0
6,89.01,1.9,175,1,month_to_month,0
3,110.96,15.1,45,0,month_to_month,1
7,43.79,83.1,357,1,one_year,0
7,110.0,3.3,156,4,month_to_month,0
5,129.74,49.6,37,3,one_year,0
10,98.19,4.1,235,2,one_year,0
4,41.72,18.6,155,2,month_to_month,0
5,86.65,32.3,249,1,month_to_month,0
3,107.51,8.0,84,0,month_to_month,0
6,132.71,7.0,307,3,month_to_month,0
2,126.53,22.1,170,0,month_to_month,0
2,93.98,10.2,170,2,one_year,0
3,78.23,51.6,299,1,one_year,1
8,95.36,33.6,213,2,month_to_month,1
6,53.17,0.5,30,3,two_year,1
3,80.64,8.5,223,5,month_to_month,1
10,140.56,13.1,246,0,two_year,0
7,95.27,6.8,134,2,one_year,0
6,108.96,53.8,90,5,month_to_month,0
6,60.94,87.6,48,1,month_to_month,1
5,132.42,3.7,313,0,month_to_month,0
2,92.46,12.1,31,3,two_year,0
4,107.79,3.0,225,2,month_to_month,0
6,115.19,5.6,310,1,two_year,0
