group,revenue,time_on_site,visit_count
A,96.415,250.352,4
A,143.47,295.649,4
A,88.49,283.89,3
A,84.617,272.348,3
A,107.671,289.893,2
A,79.219,265.956,2
A,130.958,203.838,2
A,96.045,240.745,4
A,95.139,328.045,3
A,152.672,305.779,4
A,89.41,293.08,3
A,102.967,314.403,4
A,104.543,213.408,4
A,74.818,241.698,5
A,103.948,301.193,2
A,80.28,376.005,5
A,91.595,379.129,7
A,72.639,243.238,6
A,112.671,412.546,5
A,137.142,331.213,5
A,49.916,313.989,1
A,95.91,305.485,4
A,111.392,259.858,3
A,84.952,401.17,4
A,80.736,257.259,2
A,78.097,298.323,3
A,105.433,405.127,5
A,85.964,284.995,3
A,94.846,158.531,3
A,105.292,272.935,1
A,109.242,285.036,3
A,84.495,266.984,4
A,60.326,224.176,2
A,94.59,257.629,3
A,102.236,325.134,4
A,80.907,316.662,6
A,106.851,396.672,0
A,81.246,224.194,1
A,108.962,279.376,4
A,87.142,104.558,6
A,109.912,352.309,5
A,104.343,215.22,5
A,101.38,172.669,0
A,91.494,368.231,4
A,109.912,322.102,3
A,107.776,396.492,6
A,85.299,276.722,4
A,123.187,359.568,2
A,107.908,246.788,5
A,127.581,387.973,9
A,109.252,364.321,3
A,114.133,272.43,4
A,81.376,337.879,3
A,112.652,205.894,3
A,107.07,379.496,3
A,133.959,269.834,6
A,106.086,315.979,3
A,108.333,247.15,4
A,74.501,369.332,4
A,52.937,294.072,7
A,95.718,365.473,3
A,76.34,156.792,4
A,93.573,329.386,7
A,126.747,395.254,3
A,70.009,395.093,1
A,108.841,327.917,1
A,128.514,383.484,4
A,59.549,326.634,3
A,89.086,357.793,5
A,107.792,295.226,4
A,93.964,314.893,9
A,119.542,327.27,6
A,72.12,196.709,2
A,113.652,298.284,1
A,100.27,265.349,2
A,96.367,346.905,4
A,139.393,316.335,0
A,97.093,333.855,2
A,106.505,321.002,5
A,152.12,302.991,2
A,85.914,327.353,2
A,84.215,283.704,7
A,137.064,250.282,5
A,71.79,333.084,5
A,84.026,314.333,0
A,123.723,244.283,4
A,104.112,223.412,6
A,120.379,293.075,3
A,109.407,344.416,2
A,102.551,322.474,1
A,132.265,322.173,2
A,115.485,343.128,5
A,138.546,384.812,5
A,123.804,340.526,0
A,88.714,250.478,5
A,105.931,299.857,4
A,139.149,310.331,5
A,107.229,250.296,4
A,93.046,158.59,2
A,99.792,268.185,5
A,92.63,247.122,3
A,84.271,213.739,5
A,123.723,259.254,4
A,92.269,302.706,6
A,103.69,272.619,5
A,130.817,308.201,6
A,84.753,265.757,2
A,88.259,249.665,2
A,147.076,290.666,1
A,98.743,316.428,0
B,108.051,272.809,7
B,117.309,372.863,6
B,147.934,277.259,4
B,52.279,372.464,2
B,128.005,356.114,4
B,116.059,291.665,4
B,75.245,314.989,4
B,87.556,304.23,6
B,62.667,278.429,13
B,122.665,288.655,8
B,89.432,261.389,3
B,129.019,370.316,4
B,137.051,368.172,3
B,130.841,259.121,7
B,114.958,245.061,8
B,112.703,303.827,3
B,116.829,392.888,6
B,83.075,295.762,10
B,85.134,223.457,4
B,106.734,230.211,5
B,109.562,334.339,6
B,123.746,337.724,8
B,88.042,309.594,5
B,105.162,310.381,5
B,98.298,349.47,7
B,61.825,271.598,5
B,99.842,282.228,3
B,127.291,299.296,4
B,99.586,345.033,6
B,78.503,330.384,8
B,76.712,334.081,6
B,103.878,286.199,4
B,118.639,287.41,4
B,98.214,320.404,4
B,112.749,181.009,5
B,110.508,193.723,3
B,107.92,278.615,7
B,90.993,411.502,2
B,94.984,438.341,3
B,101.974,240.845,7
B,72.867,265.853,7
B,109.541,303.892,10
B,98.809,181.123,7
B,114.753,307.182,4
B,83.226,241.755,5
B,152.262,276.488,7
B,119.125,367.099,9
B,101.879,332.211,4
B,103.148,306.886,11
B,97.912,336.999,2
B,125.017,273.2,2
B,100.027,401.094,8
B,112.834,398.932,4
B,92.953,382.6,10
B,116.617,386.903,6
B,114.121,310.53,5
B,100.17,362.349,5
B,71.107,285.313,2
B,122.834,337.346,2
B,75.702,286.5,8
B,106.092,193.2,10
B,129.335,324.859,6
B,103.913,223.274,6
B,123.26,324.718,7
B,131.981,261.757,5
B,106.892,443.83,6
B,102.119,352.516,6
B,101.504,231.499,8
B,108.294,324.111,8
B,120.064,319.372,1
B,136.97,242.362,7
B,116.48,207.098,7
B,134.575,350.484,5
B,98.271,288.535,1
B,127.767,235.718,4
B,81.98,242.574,2
B,96.17,296.574,5
B,105.352,414.149,6
B,61.612,300.997,6
B,109.712,296.322,2
B,90.63,209.376,7
B,120.33,268.622,5
B,120.017,339.511,7
B,95.231,257.748,4
B,97.857,394.378,2
B,87.763,244.754,5
B,114.429,152.772,8
B,129.12,306.26,6
B,67.574,321.922,3
B,123.337,339.177,2
B,105.804,274.434,6
B,133.88,241.113,7
B,83.18,390.391,7
B,114.327,334.023,4
B,112.011,201.161,3
B,118.646,269.486,4
B,129.934,270.008,3
B,95.254,255.811,4
B,113.758,244.415,6
B,109.778,367.174,8
B,100.531,427.011,5
B,108.567,325.69,6
B,92.215,299.435,7
B,110.762,358.951,5
B,88.506,220.824,3
B,83.002,353.19,8
B,90.624,275.273,5
B,89.156,299.4,6
B,101.666,387.704,6
B,133.492,285.512,4
B,110.147,301.262,2
B,116.833,404.865,7
B,108.603,305.992,7
B,106.75,344.122,5
B,102.783,348.498,4
B,123.226,350.73,3
B,114.236,336.129,8
B,117.959,346.013,8
B,85.654,306.214,3
B,127.421,407.038,8
B,100.725,321.299,3
B,98.212,245.185,4
B,82.061,311.824,4
B,119.648,328.86,4
B,97.498,302.536,7
B,97.16,294.134,2
B,73.723,327.243,3
B,78.431,293.234,3
B,71.781,230.254,7
B,90.033,284.818,4
B,69.108,287.521,5
B,103.281,215.376,4
B,144.105,275.728,8
B,108.864,295.214,3
B,93.681,322.263,3
B,111.167,205.55,3
B,94.075,236.343,7
B,88.771,322.836,4
B,124.758,317.973,4
B,130.53,320.42,3
B,121.68,335.082,6
B,93.932,302.112,4
B,131.873,229.264,3
B,124.446,260.356,4
B,80.116,226.059,3
B,98.752,359.991,4
B,84.164,347.293,7
B,130.099,249.759,4
B,120.76,194.251,3
B,115.194,387.612,0
B,83.841,360.497,7
B,78.586,204.335,2
B,115.579,317.709,2
B,88.797,257.04,7
B,77.11,264.178,6
B,96.822,243.529,7
B,99.313,248.545,5
B,117.113,361.352,6
B,118.171,189.376,8
B,103.494,293.259,3
B,102.976,212.423,3
B,81.191,271.532,6
B,65.59,339.186,5
B,111.64,290.616,8
B,79.504,258.345,3
B,85.705,173.889,5
B,111.78,333.177,3
B,118.425,338.788,9
B,59.808,310.289,5
B,117.03,237.457,6
B,108.542,270.744,1
B,86.065,356.035,3
B,71.914,272.166,5
B,136.887,192.135,4
B,86.269,323.331,2
B,118.788,453.977,3
B,93.612,336.215,8
B,71.716,389.024,5
B,92.055,348.253,6
B,90.152,409.589,6
B,76.535,325.58,8
B,92.345,278.136,6
B,83.717,361.782,3
B,107.126,391.237,5
B,127.256,308.783,10
B,119.239,383.643,3
B,122.615,390.928,7
B,92.254,246.253,4
B,110.391,295.594,4
B,88.343,335.166,4
B,48.11,264.935,4
B,80.826,357.307,2
B,81.473,312.261,7
B,112.408,426.256,5
B,92.219,357.984,7
B,100.693,414.982,7
B,126.919,331.476,8
B,131.618,319.289,5
B,104.818,300.372,10
B,133.902,203.529,7
B,115.119,333.193,11
B,116.434,379.003,3
B,64.348,243.725,6
B,84.447,258.049,7
B,105.747,278.771,4
B,111.087,364.852,0
B,89.901,296.975,6
B,90.425,267.932,3
B,76.58,431.372,2
B,109.427,292.233,6
B,141.312,274.884,3
B,148.319,176.467,2
B,106.986,292.025,9
B,104.602,376.482,5
B,102.45,273.991,5
B,129.617,303.557,1
B,80.16,441.086,10
B,113.132,282.655,7
B,111.797,373.953,2
B,86.646,321.886,6
B,162.556,368.571,12
B,94.454,382.819,5
B,116.695,338.999,4
B,84.305,324.835,7
B,126.206,211.417,5
B,105.8,311.638,10
B,116.192,311.961,5
B,110.622,322.831,4
B,99.594,260.972,4
B,122.557,227.577,3
B,92.194,301.941,5
B,72.929,368.171,5
B,100.44,326.878,3
B,132.812,307.451,5
B,85.327,390.638,6
B,110.002,257.068,3
B,105.09,332.506,7
B,109.642,234.328,5
B,111.601,281.628,3
B,116.013,378.92,7
B,134.469,360.55,4
B,97.235,373.44,7
B,135.049,283.366,3
B,101.039,304.464,2
B,93.195,301.919,4
B,89.194,436.092,8
B,99.423,239.369,3
B,73.612,313.472,3
B,147.28,289.606,6
B,98.812,231.628,6
